Ticker Code,Participant Admin,Underwriter(s),Listing Board,Final Price (Rp),Warrant per share ratio,Exercise Price (Warrant) (Rp),Open,High,Low,Close
PJHB-W,PO - PILARMAS INVESTINDO SEKURITAS,PO,,330.0,0.5,330.0,51.0,410.0,51.0,410.0
DKHH-W,EP - MNC SEKURITAS,EP,Pengembangan,132.0,0.5,155.0,25.0,61.0,15.0,43.0
OBAT-W,AD - OSO SEKURITAS INDONESIA,AD,Pengembangan,350.0,0.5,350.0,30.0,101.0,30.0,90.0
BRRC-W,XA - NH KORINDO SEKURITAS INDONESIA,XA,Pengembangan,210.0,0.5,210.0,31.0,71.0,28.0,38.0
NAIK-W,EP - MNC SEKURITAS,EP,Pengembangan,107.0,0.5,135.0,28.0,62.0,23.0,48.0
VERN-W,AI - UOB KAY HIAN SEKURITAS,AI,Pengembangan,195.0,0.5,216.0,-,-,-,-
ISEA-W,CP - KB VALBURY SEKURITAS,CP,Pengembangan,250.0,0.5,226.0,-,-,-,-
PART-W,EP - MNC SEKURITAS,"EP,AO,CP",Pengembangan,105.0,1.0,110.0,20.0,22.0,12.0,12.0
BATR-W,HD - KGI SEKURITAS INDONESIA,HD,Pengembangan,110.0,1.0,300.0,-,-,-,-
ATLA-W,SH - ARTHA SEKURITAS INDONESIA,SH,Pengembangan,100.0,1.45,300.0,-,-,-,-
BAIK-W,EP - MNC SEKURITAS,"EP,HD",Pengembangan,278.0,1.0,400.0,33.0,40.0,9.0,10.0
MEJA-W,EP - MNC SEKURITAS,"EP,AO",Akselerasi,103.0,1.0,115.0,19.0,25.0,7.0,8.0
MPIX-W,DR - RHB SEKURITAS INDONESIA,"DR,HD",Pengembangan,268.0,0.5,850.0,25.0,298.0,25.0,40.0
TOSK-W,EP - MNC SEKURITAS,"EP,AO",Pengembangan,125.0,0.3,145.0,-,-,-,-
ACRO-W,AI - UOB KAY HIAN SEKURITAS,AI,Pengembangan,108.0,0.333333333,186.0,30.0,83.0,30.0,40.0
MANG-W,PG - PANCA GLOBAL SEKURITAS,PG,Akselerasi,100.0,0.3,125.0,20.0,50.0,9.0,10.0
SMLE-W,EP - MNC SEKURITAS,"EP,AO",Pengembangan,175.0,0.5,200.0,-,-,-,-
CGAS-W,PO - PILARMAS INVESTINDO SEKURITAS,PO,Pengembangan,338.0,0.5,306.0,-,-,-,-
RGAS-W,AO - ERDIKHA ELIT SEKURITAS,AO,Pengembangan,120.0,0.6,210.0,-,-,-,-
UDNG-W,EP - MNC SEKURITAS,"EP,BQ",Akselerasi,100.0,0.8,105.0,-,-,-,-
