IPO Status,Ticker Code,Company Name,Sector,Subsector,Listing Board,Final Price (Rp),Return D1,Return D2,Return D3,Return D4,Return D5,Return D6,Return D7,Return from Listing Date,Line of Business,Address,Website,Number of shares offered,% of Total Shares,Participant Admin,Underwriter(s),Book Building Opening,Book Building Closing,Lowest Book Building Price (Rp),Highest Book Building Price (Rp),Opening of Offering Period,Closing of Offering Period,Closing Date,Distribution Date,Listing Date,Warrant per share ratio,Exercise Price (Warrant) (Rp)
Allotment,SUPA,PT Super Bank Indonesia Tbk,Financials,Banks,,635.0,,,,,,,,,Perbankan,"Revenue Tower, Lantai 28-29 SCBD, Lot 13 District 8 Jl. Jenderal Sudirman Kav. 52-53",https://www.superbank.id,4406612300,13.0,CC - MANDIRI SEKURITAS,"CC,LG,DX,BQ,AZ,KZ",2025-11-25,2025-12-01,525,695,2025-12-10,2025-12-15,2025-12-15,2025-12-16,2025-12-17,0.0,
Closed,RLCO,PT Abadi Lestari Indonesia Tbk,Consumer Non-Cyclicals,Processed Foods,,168.0,0.34523809523809523,0.24778761061946902,0.24822695035460993,0.25,0.25,0.24545454545454545,,3.0773809523809526,"Pengolahan dan pencucian sarang burung walet, serta perdagangan produk-produk kesehatan","Jl. Raya Bojonegoro – Babat Desa Balenrejo, Kecamatan Balen Kabupaten Bojonegoro, Jawa Timur 62182",https://realco-ali.com/,625000000,20.0,IF - SAMUEL SEKURITAS INDONESIA,IF,2025-11-24,2025-11-26,150,168,2025-12-02,2025-12-04,2025-12-04,2025-12-05,2025-12-08,0.0,
Closed,PJHB,PT Pelayaran Jaya Hidup Baru Tbk.,Transportation & Logistic,Logistics & Deliveries,,330.0,0.24848484848484848,0.25,0.24271844660194175,0.25,0.25,-0.11,-0.033707865168539325,0.6060606060606061,Angkutan Laut Perairan Pelabuhan Dalam Negeri untuk Barang berupa Alat Berat dan Kontainer,"Jl. Panglima Batur No. 36, Pelabuhan, Kec. Samarinda Kota, Kota Samarinda, Prov. Kalimantan Timur, Kode Pos: 75112",https://www.pelayaranjayahidupbaru.com,480000000,25.0,PO - PILARMAS INVESTINDO SEKURITAS,PO,2025-10-22,2025-10-27,310,330,2025-10-31,2025-11-04,2025-11-04,2025-11-05,2025-11-06,0.5,330.0
Closed,EMAS,PT Merdeka Gold Resources Tbk,Basic Materials,Diversified Metals & Minerals,,2880.0,0.25,0.011111111111111112,-0.09340659340659341,0.01818181818181818,0.08333333333333333,0.0,0.0989010989010989,0.953125,"Bidang pertambangan emas dan mineral pengikutnya, pengolahan dan kegiatan usaha terkait lainnya","Treasury Tower, Lantai 67, District 8, SCBD Lot. 28 Jl. Jend. Sudirman Kav. 52-53, Senayan, Kebayoran Baru Jakarta Selatan 12190, Indonesia",https://merdekagoldresources.com/,1618023300,10.0,LG - TRIMEGAH SEKURITAS INDONESIA TBK.,"LG,AI,DH,PD,PP,TP,YO",2025-09-08,2025-09-10,1800,3020,2025-09-17,2025-09-19,2025-09-19,2025-09-22,2025-09-23,0.0,
Closed,CHEK,PT Diastika Biotekindo Tbk,Healthcare,Healthcare Equipment,,128.0,0.34375,0.1511627906976744,-0.025252525252525252,-0.04145077720207254,0.016216216216216217,0.03723404255319149,0.010256410256410256,0.328125,Distributor Alat Kesehatan,"Kawasan Industri Pulogadung, Jl. Rawagelam V, Blok L, No Kav 11-13, Kel. Jatinegara Kec. Cakung Jakarta Timur, Jakarta",https://diastika.co.id/,815000000,20.04,YJ - LOTUS ANDALAN SEKURITAS,YJ,2025-06-23,2025-06-25,120,140,2025-07-02,2025-07-08,2025-07-08,2025-07-09,2025-07-10,0.0,
Closed,MERI,PT Merry Riana Edukasi Tbk,Consumer Cyclicals,Education Services,,128.0,0.34375,0.3488372093023256,0.25,0.2482758620689655,0.24861878453038674,0.25,-0.14690265486725665,0.34375,Pendidikan sebagai Lembaga Kursus dan Pelatihan,"Soho Capital lantai 42 unit 4201-4203, Podomoro City, Jl S Parman Kav. 28, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat – 11470",http://merryrianaeducation.com,235132500,22.72,YJ - LOTUS ANDALAN SEKURITAS,YJ,2025-06-24,2025-06-26,110,150,2025-07-02,2025-07-08,2025-07-08,2025-07-09,2025-07-10,0.0,
Closed,BLOG,PT Trimitra Trans Persada Tbk,Transportation & Logistic,Logistics & Deliveries,,250.0,0.248,0.25,0.24615384615384617,0.2448559670781893,0.24793388429752067,0.06622516556291391,-0.10559006211180125,0.784,Logistik terintegrasi yang terdiri atas jasa pengangkutan dan pergudangan (melalui Entitas Anak),,https://b-log.co.id/id/home-id/,563247900,16.67,SQ - BCA SEKURITAS,SQ,2025-06-23,2025-06-25,240,270,2025-07-02,2025-07-08,2025-07-08,2025-07-09,2025-07-10,0.0,
Closed,CDIA,PT Chandra Daya Investasi Tbk,Infrastructures,Electric Utilities,,190.0,0.3473684210526316,0.25,0.25,0.25,0.25,0.248,0.25,8.763157894736842,Aktivitas Perusahaan Holding dan Konsultasi Manajemen Lainnya,"Wisma Barito Pacific Tower A, Lantai 5 Jl. Let. Jend. S. Parman Kav. 62 - 63 Jakarta Barat 11410, Indonesia",http://www.chandradaya-investasi.com,12482937500,10.0,HP - HENAN PUTIHRAI SEKURITAS,"HP,DP,LG,NI,SQ,TP",2025-06-19,2025-06-24,170,190,2025-07-02,2025-07-07,2025-07-07,2025-07-08,2025-07-09,0.0,
Closed,PMUI,PT Prima Multi Usaha Indonesia Tbk,Consumer Cyclicals,Consumer Distributors,,180.0,-0.15,-0.1437908496732026,0.1297709923664122,-0.12837837837837837,0.007751937984496124,-0.015384615384615385,-0.03125,-0.25555555555555554,Perdagangan Besar Telekomunikasi dan Aktivitas Konsultasi Manajemen,"Gedung Grha Prima Indonesia, Jl. Tuparev No. 87 A. Kabupaten Cirebon, Jawa Barat - 45113, Indonesia",https://www.pmui.co.id,1160000000,20.0,BQ - KOREA INVESTMENT AND SEKURITAS INDONESIA,BQ,2025-06-24,2025-06-26,160,180,2025-07-02,2025-07-08,2025-07-08,2025-07-09,2025-07-10,0.0,
Closed,COIN,PT Indokripto Koin Semesta Tbk,Financials,Financial Holdings,,100.0,0.35,0.34814814814814815,0.34065934065934067,0.2459016393442623,0.25,0.24736842105263157,0.24472573839662448,38.4,Holding serta Bursa Berjangka & Aset Kripto dan Jasa Kustodian Aset Kripto melalui Perusahaan Anak,"CFX Tower Lantai 8, Jalan Jenderal Gatot Subroto Kav. 35-36, Kuningan Timur, Setiabudi, Jakarta Selatan, Indonesia 12950",https://indokriptokoinsemesta.co.id,2205882400,15.0,KI - CIPTADANA SEKURITAS ASIA,KI,2025-06-23,2025-06-25,100,105,2025-07-02,2025-07-07,2025-07-07,2025-07-08,2025-07-09,0.0,
